Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Ownership,Industry,Sector,Revenue,Minimum Salary,Maximum Salary,Average Salary,salary_category,Rating Interval,Min Employees,Max Employees,Ownership Category,Ownership_College / University,Ownership_Company - Private,Ownership_Company - Public,Ownership_Contract,Ownership_Government,Ownership_Hospital,Ownership_Nonprofit Organization,Ownership_Other Organization,Ownership_Private Practice / Firm,Ownership_Self-employed,Ownership_Subsidiary or Business Segment,Education Level,Experience Level,python,excel,hadoop,spark,aws,tableau,State
Sr Data Scientist,137-171 ,3.1,Healthfirst,"New York, NY","New York, NY",1001 - 5000 ,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,171,154,Medium,3-4,1001 , 5000 ,Nonprofit,False,False,False,False,False,False,True,False,False,False,False,Bachelor,Entry,0,0,0,0,1,0, NY
Data Scientist,137-171 ,4.2,ManTech,"Chantilly, VA","Herndon, VA",5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,171,154,Medium,4-5,5001 , 10000 ,Public,False,False,True,False,False,False,False,False,False,False,False,Bachelor,Entry,0,0,1,0,0,0, VA
Data Scientist,137-171 ,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 - 5000 ,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137,171,154,Medium,3-4,1001 , 5000 ,Private,False,False,False,False,False,False,False,False,True,False,False,PhD,Entry,1,1,0,0,1,0, MA
Data Scientist,137-171 ,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 - 1000 ,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),137,171,154,Medium,3-4,501 , 1000 ,Public,False,False,True,False,False,False,False,False,False,False,False,Bachelor,Entry,1,1,0,0,1,0, MA
Data Scientist,137-171 ,2.9,Affinity Solutions,"New York, NY","New York, NY",51 - 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137,171,154,Medium,2-3,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Advanced degree,Senior,1,1,0,0,0,0, NY
Data Scientist,137-171 ,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 - 200 ,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154,Medium,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Phd,Mid-Senior,1,1,1,1,0,0, CA
Data Scientist / Machine Learning Expert,137-171 ,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,171,154,Medium,3-4,10001 ,10000+ ,Public,False,False,True,False,False,False,False,False,False,False,False,Advanced degree,Entry,1,0,0,0,0,0, MA
Data Scientist,137-171 ,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 - 5000 ,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137,171,154,Medium,3-4,1001 , 5000 ,Public,False,False,True,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,0,0,0,0,0, MA
Staff Data Scientist - Analytics,137-171 ,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 - 10000 ,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,171,154,Medium,4-5,5001 , 10000 ,Public,False,False,True,False,False,False,False,False,False,False,False,Not Mentioned,Not Mentioned,0,0,0,0,0,0, CA
Data Scientist,137-171 ,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 - 200 ,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154,Medium,3-4,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Mid-Senior,1,0,0,0,0,0, IL
Data Scientist,137-171 ,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,171,154,Medium,4-5,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,1,0,0,1,0, VA
Data Scientist,137-171 ,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137,171,154,Medium,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,0,0,1,0,0, MO
"Data Scientist - Statistics, Early Career",137-171 ,3.7,PNNL,"Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137,171,154,Medium,3-4,1001 , 5000 ,Public,False,False,False,False,True,False,False,False,False,False,False,PhD,Entry,0,1,0,0,0,0, WA
Data Modeler,137-171 ,3.1,Old World Industries,"Northbrook, IL","Northbrook, IL",201 - 500 ,1973,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),137,171,154,Medium,3-4,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,master,Mid-Senior,1,1,0,0,0,1, IL
Data Scientist,137-171 ,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 - 5000 ,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),137,171,154,Medium,3-4,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Entry,1,1,0,0,1,0, DC
Experienced Data Scientist,137-171 ,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",1 - 50 ,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,137,171,154,Medium,4-5,1 , 50 ,Private,False,True,False,False,False,False,False,False,False,False,False,advanced degree,Entry,1,1,1,1,0,1, DC
Data Scientist,137-171 ,3.5,Buckman,"Memphis, TN","Memphis, TN",1001 - 5000 ,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),137,171,154,Medium,3-4,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,1,0,1,0,0,0, TN
